no,nama_wisata,jenis_wisata,lokasi,kecamatan,deskripsi,waktu_buka,harga_tiket,wahana,fasilitas,status_kepemilikan,pengelola,media_sosial,link_koordinat
58,Makam Mantingan,WISATA BUDAYA,Kecamatan Tahunan,Tahunan,Komplek makam Ratu Kalinyamat dan Masjid kuno.,24 Jam,Gratis (Infak),,Wajib berpakaian sopan/muslim.,,,,https://maps.app.goo.gl/N7Nv5xBE16DAB9tr8
59,Perang Obor,WISATA BUDAYA,Kecamatan Tahunan,Tahunan,Tradisi adu obor pelepah kelapa di Tegalsambi.,Event Tahunan,Gratis,,Digelar Senin Pahing bulan Apit.,,,,https://maps.app.goo.gl/EkMB3Kr7tW1H1U6a7
60,Jembul Tulakan,WISATA BUDAYA,Kecamatan Donorojo,Donorojo,Tradisi sedekah bumi unik dengan arak-arakan.,Event Tahunan,Gratis,,Budaya asli dari Desa Tulakan.,,,,https://maps.app.goo.gl/iEjzuSzA1amqcs6D9
61,Baratan,WISATA BUDAYA,Kecamatan Kalinyamatan,Kalinyamatan,Kirab lampion tradisional mengenang Ratu Kalinyamat.,Malam 15 Sya'ban,Gratis,,Ribuan lampion di sepanjang jalan.,,,,https://maps.app.goo.gl/PFiKm2nxfswCH9yj9
62,Lomban,WISATA BUDAYA,Kecamatan Jepara,Jepara,Pesta laut pelarungan kepala kerbau ke tengah laut.,H+7 Lebaran,"Rp10,000",,Hari raya nelayan Jepara.,,,,https://maps.app.goo.gl/czQo2FGEUK1RWBoh9
63,Taman Ari-Ari RA Kartini,"WISATA SEJARAH, WISATA EDUKASI, WISATA BUATAN","Rw. 03, Pelemkerep, Kec. Mayong, Kabupaten Jepara, Jawa Tengah 59465.",Mayong,"Taman Ari-Ari RA Kartini adalah sebuah situs bersejarah yang sangat penting, menandai lokasi kelahiran pahlawan emansipasi wanita, Raden Ajeng Kartini.

Makna ""Ari-Ari""	Merujuk pada plasenta atau potongan tali pusar Kartini yang ditanam di lokasi ini sesuai dengan tradisi Jawa saat kelahirannya.
Tempat Kelahiran	R.A. Kartini lahir di Desa Pelemkerep, Kecamatan Mayong, pada 21 April 1879, ketika ayahnya menjabat sebagai Wedana di Mayong (sekarang Kantor Kecamatan Mayong).
Kondisi Rumah Asli	Rumah asli tempat Kartini dilahirkan sudah dibongkar dan dipindahkan ke Jepara. Yang tersisa dan dilestarikan di lokasi ini adalah monumen ari-ari dan sumur tua.
Peresmian Monumen	Monumen Tugu Ari-Ari dibangun oleh Pemerintah Daerah Jepara pada tahun 1979 dan pernah direnovasi pada tahun 1981.

Hal yang Dapat Dilihat di Lokasi
Situs ini merupakan wisata edukasi yang sederhana namun kaya akan nilai sejarah, yang berada tepat di samping Kantor Kecamatan Mayong:

Monumen Ari-Ari: Berbentuk tugu yang menyerupai bunga teratai. Desain ini memiliki makna filosofis terkait kelahiran Kartini:

Kuncup bunga teratai bagian tengah berjumlah 21 (tanggal lahir).

Empat buah lampu menunjukkan bulan April (bulan lahir).

Bagian ukiran lain menunjukkan tahun 1879 (tahun lahir).

Sumur Tua: Sumur ini adalah peninggalan asli dari rumah keluarga Kartini dan masih berada di lokasi aslinya. Sumur ini dipercaya tidak pernah kering, bahkan saat musim kemarau. Beberapa pengunjung meyakini air sumur tersebut dapat membawa ""pengasihan"" atau kepintaran, terutama bagi pelajar yang akan menghadapi ujian.

Tugu Penanda Kelahiran: Terdapat tugu penanda sebagai konfirmasi tempat kelahiran R.A. Kartini.

Mengunjungi Taman Ari-Ari R.A. Kartini adalah langkah awal yang tepat untuk napak tilas perjuangan pahlawan emansipasi wanita ini, sebelum melanjutkan ke Museum R.A. Kartini di Kota Jepara.",Pukul 07.00–17.00 WIB,,,,PEMDA / DINAS,,,https://maps.app.goo.gl/1B3GWVGyYiKEr5q98
64,Tugu Macan Kurung Gedangan Jepara,"WISATA SEJARAH, WISATA EDUKASI, WISATA BUATAN","Jalan Raya, Gedangan, Kec. Welahan, Kabupaten Jepara, Jawa Tengah 59464.",Welahan,"Tugu Macan Kurung Gedangan Jepara, yang sering juga disebut Taman Macan Kurung Welahan, adalah salah satu ikon Kabupaten Jepara yang memiliki makna historis dan filosofi yang mendalam, khususnya dalam konteks seni ukir Jepara dan perlawanan terhadap penjajahan.

Berikut adalah informasi mengenai Tugu Macan Kurung Gedangan Jepara:

1. Lokasi Tugu
Tugu Macan Kurung Gedangan Jepara

Alamat: 6P6F+RXX, Jalan Raya, Gedangan, Kec. Welahan, Kabupaten Jepara, Jawa Tengah 59464.

Deskripsi: Tugu ini berada di lokasi yang strategis, sering menjadi tempat persinggahan dan nongkrong bagi warga karena suasana yang nyaman di pagi dan sore hari.

Tugu Macan Kurung (Alternatif)

Alamat: Jl. Raya Jepara - Kudus, Dusun 2, Tunggulpandean, Kec. Nalumsari, Kabupaten Jepara, Jawa Tengah.

Deskripsi: Tugu ini berada di jalur perbatasan/lintas Jepara-Kudus dan sering dijadikan penanda batas kota.

2. Makna Historis dan Filosofi ""Macan Kurung""
Tugu ini merupakan perwujudan visual dari karya seni ukir khas Jepara yang disebut Macan Kurung. Patung Macan Kurung diciptakan oleh seorang tokoh ukir bernama Singowiryo, dan muncul pada masa tekanan kolonial Belanda dan adat feodal, sezaman dengan R.A. Kartini.

Simbol Perlawanan: Macan Kurung melambangkan impian masyarakat untuk mengurung ""Macan"", yang diinterpretasikan sebagai simbol kekejaman Penjajah (Belanda) atau kekuasaan feodal yang menekan. Bola yang dapat menggelinding di dalam kurungan dan rantai yang mengikat macan menggambarkan bangsa Indonesia yang saat itu terjajah, terkurung, dan sulit melawan.

Karya Seni Kriya: Secara seni, Macan Kurung adalah masterpiece ukiran Jepara karena keunikannya. Seluruh patung—macan, kurungan, bola, dan rantai—dibuat dari segelondong kayu utuh tanpa dibelah dan tanpa sambungan atau lem. Teknik pembuatan yang sangat sulit ini mencerminkan tingginya estetika seni ukir Jepara.

Ikon Kota: Patung Macan Kurung dianggap sebagai cikal bakal seni ukir Jepara dan menjadi salah satu ikon penciri karakter daerah Jepara yang terus dilestarikan.

Tugu di Gedangan dan Nalumsari berfungsi sebagai monumen dan penanda geografis, mempopulerkan kembali warisan budaya ukir Macan Kurung kepada masyarakat dan pendatang.",Buka 24 Jam,,,,PEMDA / DINAS,,,https://maps.app.goo.gl/fcEEV8pwFhv1TRqn6
65,Pendopo Kabupaten Jepara,"WISATA SEJARAH, WISATA EDUKASI, WISATA BUATAN","Jl. Kartini, Panggang I, Panggang, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59418",Jepara,"Pendopo Kabupaten Jepara, yang secara resmi dikenal sebagai Pendopo Kartini Kabupaten Jepara, adalah bangunan bersejarah yang sangat penting, terutama sebagai saksi bisu kehidupan pahlawan emansipasi wanita Indonesia, R.A. Kartini.

Sejarah dan Peran R.A. Kartini
Pendopo ini memiliki nilai historis yang luar biasa, terutama karena menjadi tempat tinggal R.A. Kartini dan keluarganya selama bertahun-tahun.

Pendirian: Pendopo ini dibangun sekitar tahun 1750 pada masa pemerintahan Adipati Citro Sumo III (1738–1760) dan berfungsi sebagai kantor pemerintahan Kadipaten Jepara sekaligus tempat tinggal Adipati.

Tempat Tinggal Kartini: Keluarga R.A. Kartini menghuni Pendopo ini dari tahun 1881 hingga 1903, sejak ayahnya, R.M.A.A Sosroningrat, diangkat menjadi Bupati Jepara. Kartini tinggal di sini sejak usia 2 tahun hingga ia pindah ke Rembang setelah menikah pada November 1903.

Masa Pingitan dan Emansipasi: Di Pendopo inilah R.A. Kartini menjalani masa pingitannya mulai usia 12,5 tahun (sekitar tahun 1892). Meskipun terkurung oleh adat, masa pingitan ini justru menjadi masa-masa produktif. Ia membaca berbagai buku yang membuka cakrawala pemikirannya tentang wanita Eropa modern dan mulai menulis surat-surat yang kelak menjadi cikal bakal gagasan emansipasi perempuan dan dibukukan dengan judul Door Duisternis tot Licht (Habis Gelap Terbitlah Terang).

Kegiatan Mengajar: Bagian serambi belakang Pendopo dulunya digunakan Kartini untuk memberi pelajaran keterampilan (seperti memasak) dan mengajar pengetahuan dasar serta menjahit kepada murid-muridnya yang berasal dari kampung Pungkuran.

Apa yang Dapat Dilihat di Pendopo?
Pendopo ini dirancang dengan gaya arsitektur tradisional Jawa, yang melambangkan penyatuan alam makrokosmos dan mikrokosmos, serta mencerminkan konsep Pandito Ratu (menyatunya ulama dan umara/penguasa).

Saat berkunjung, Anda dapat menapaki jejak sejarah di beberapa ruangan utama:

Ruang Peringgitan: Ruangan yang dihiasi dengan beragam motif ukiran tradisional Jepara, yang menambah kesan mewah dan sering digunakan R.A. Kartini pada masa pingitan. Dulu, ruang ini dibatasi oleh penyekat ukir (rono kaputren dan rono kaputran) yang membatasi pergerakannya saat dipingit.

Kamar Pingitan R.A. Kartini: Ruangan berukuran sekitar 3x4 meter ini adalah saksi bisu perjuangan dan pertumbuhan jiwa Kartini. Saat ini, ruangan tersebut masih lestari, meskipun furnitur di dalamnya hanya replika (karena seluruh barang asli Kartini dibawa ke Rembang setelah menikah). Di dalam kamar, Anda dapat melihat replika ranjang kayu berukir, alat membatik, tempat jamu, dan lukisan Kartini.

Bangunan dan Arsitektur: Anda bisa mengamati arsitektur tradisional yang telah berusia lebih dari dua abad, termasuk ubin dan pilar-pilar asli yang masih terawat.

Pendopo Kabupaten Jepara, bersama dengan Museum R.A. Kartini yang lokasinya berdekatan, adalah destinasi wajib bagi siapa pun yang ingin menelusuri jejak kehidupan dan perjuangan sang pelopor emansipasi wanita Indonesia.",Pukul 07.00–17.00 WIB,,,,PEMDA / DINAS,,,https://maps.app.goo.gl/rmQ9AQ7c4pWyPyjb9
66,Anjungan Kabupaten Jepara,"WISATA BUATAN, WISATA EDUKASI",Komplek Puri Maerokoco atau Taman Mini Jawa Tengah Indah,Semarang,"Merupakan salah satu Anjungan Daerah di Taman Mini Jawa Tengah (Puri Maerokoco). Anjungan ini menampilkan beberapa arsitektur rumah adat khas Jepara. Bangunan – bangunan dalam anjungan Jepara terdiri atas Joglo Jepara, Padonggo Birowo, Sculpture Palace, dll.",Setiap Hari,-,1. Kerajianan UMKM Jepara,"1. Miniatur Gerbang Mantingan
2. Joglo Jepara
3. Padonggo Birowo
4. Sculpture Palace
5. Miniatur Air Terjun Songgolangit",PEMDA / DINAS,Agus Sulistiyo,,https://maps.app.goo.gl/dpE6sdE7VVjG8nkQ7
67,Jepara Ourland Park,WISATA BUATAN,"Pantai Mororejo, Desa Mororejo, Kecamatan Mlonggo, Kabupaten Jepara",Mlonggo,"Jepara Ourland Park (JOP) adalah taman wisata terpadu yang terkenal sebagai wahana wisata bahari terbesar dan terlengkap di Jawa Tengah. Dibangun di atas lahan seluas kurang lebih 11 hektare di tepi Pantai Mororejo, JOP menawarkan perpaduan antara wisata air, outbound, dan rekreasi keluarga dengan konsep yang unik.

Lokasi:
JOP terletak di Pantai Mororejo, Desa Mororejo, Kecamatan Mlonggo, Kabupaten Jepara. Lokasinya strategis, hanya berjarak sekitar 15 menit dari pusat Kota Jepara.

Konsep dan Arsitektur
JOP mengusung konsep tematik yang memadukan unsur Timur Tengah, Eropa, dan India. Ciri khas yang paling menonjol adalah bangunan megah yang menyerupai Istana dengan kubah-kubah warna-warni, yang sering dianggap mirip dengan arsitektur ala Negeri 1001 Malam atau bahkan menyerupai kubah masjid yang besar. Suasana di sekitar taman terasa sejuk dan rindang karena penataan area hijau dan pepohonan yang memadai.

Wahana Utama (Waterpark dan Non-Air)
JOP menawarkan berbagai kategori wahana yang cocok untuk segala usia, mulai dari kolam santai hingga seluncuran ekstrem.

1. Wahana Waterpark (Gratis dengan Tiket Masuk)
Seluncuran Ekstrem & Menantang: JOP memiliki total puluhan seluncuran (36 slides) dengan berbagai tingkat adrenalin, termasuk Extreme Slide (ketinggian sekitar 16 meter), Octopus Slide (seluncuran berputar), dan Race Slide (seluncuran yang bisa dilombakan).

Kolam Keluarga dan Santai:

Lazy River (Kolam Arus): Kolam arus sepanjang 400 meter untuk bersantai di atas ban sambil menikmati pemandangan tropis.

Olympic Pool: Kolam renang standar olimpiade yang terletak dekat area pantai.

Kiddy Pool & Tot's Pool: Kolam khusus anak-anak dan balita yang dilengkapi dengan berbagai permainan seru, seperti Ember Tumpah.

Wave Pool (Kolam Ombak) dan Warm Pool (Kolam Air Hangat).

2. Wahana Non-Air dan Hiburan (Berbayar Terpisah)
Kendaraan dan Petualangan: Gokart (lintasan 300 meter), ATV Track, Paintball, dan Flying Fox.

Edukasi dan Fantasi: JOP Airlines (badan pesawat Boeing 737-200 lengkap yang bisa dijelajahi), Science Hall (wahana edukasi ilmiah), dan 6D Movie Theater.

Permainan Anak: Istana Balon dan area permainan lainnya.

Fasilitas Penunjang
Sebagai taman terpadu, JOP memiliki fasilitas yang sangat lengkap, di antaranya:

Akomodasi: Tersedia Villa/Resort untuk menginap.

Kuliner: Food Court, Dapur Laut Resto, dan Ship Café.

Acara: Function Hall, Ballroom, dan Meeting Room yang cocok untuk kegiatan perusahaan atau pesta.

Umum: Area parkir yang luas, Mushola, Ruang Ganti, Toilet/Kamar Bilas, dan penyewaan gazebo.

Harga Tiket Masuk (HTM)
Harga tiket masuk JOP bervariasi tergantung hari kunjungan:

Weekday (Senin-Jumat): Sekitar Rp35.000 per orang.

Weekend (Sabtu-Minggu): Sekitar Rp50.000 per orang.

(Catatan: Harga tiket masuk ini mencakup akses ke area waterpark dan kolam, namun tidak termasuk wahana berbayar seperti Gokart, Paintball, atau JOP Airlines. Harga dapat berubah sewaktu-waktu sesuai kebijakan pengelola).

Jepara Ourland Park adalah destinasi yang ideal jika Anda mencari tempat liburan keluarga dengan wahana air lengkap, fasilitas modern, dan nuansa arsitektur yang megah di kawasan pesisir Jepara.","Setiap Hari, Pukul 07.00 – 17.00","1. Weekday (Senin-Jumat): Rp35.000 per orang.

2. Weekend (Sabtu-Minggu) : Rp50.000 per orang.",,,SWASTA,,,https://maps.app.goo.gl/Ch5FrWJBzKtdpg8D8
68,Rainbow Adventure Park Jepara,WISATA BUATAN,"Jl. Semat, Platar, Kecamatan Tahunan, Kabupaten Jepara",Tahunan,"Rainbow Adventure Park adalah salah satu destinasi wisata keluarga yang populer di Jepara dengan konsep yang ceria dan penuh warna. Tempat ini menawarkan perpaduan antara taman rekreasi, wahana permainan, spot selfie, dan area kuliner.

Lokasi dan Konsep
Lokasi: Terletak di Jl. Semat, Platar, Kecamatan Tahunan, Kabupaten Jepara, Jawa Tengah. Posisinya cukup strategis, tidak jauh dari kawasan pantai seperti Pantai Pungkruk dan Pantai Blebak.

Konsep: Sesuai namanya, taman ini mengusung konsep warna-warni pelangi (rainbow) yang menjadikannya sangat menarik, terutama untuk berfoto (instagramable), baik siang maupun malam hari.

Wahana dan Daya Tarik Utama
Taman ini menawarkan berbagai wahana permainan yang cocok untuk segala usia, mulai dari anak-anak hingga dewasa:

Rainbow Slide (Perosotan Pelangi): Ini adalah wahana andalan, berupa perosotan air (atau seluncur kering dengan tube) yang panjang dengan warna-warni pelangi. Biasanya, satu tiket permainan memberikan kesempatan untuk beberapa kali seluncur.

Jembatan Kaca (Glass Bridge): Wahana ini menantang pengunjung untuk berjalan di atas jembatan dengan lantai kaca yang berada di ketinggian, memberikan sensasi adrenalin sekaligus spot foto yang unik.

Bom-Bom Car: Arena mobil senggol yang selalu menjadi favorit banyak pengunjung.

Wahana Air dan Anak: Tersedia wahana seperti Balon Air (inflatable/bola air), Mandi Bola, Wahana Jurassic (khusus untuk balita), serta berbagai permainan gratis lainnya.

Kolam Ikan: Area kolam ikan yang bisa digunakan pengunjung untuk bersantai atau memberi makan ikan.

Spot Selfie Malam Hari: Taman ini sengaja ditata dengan lampu-lampu dekoratif, sehingga pemandangan dan spot foto pada malam hari juga sangat indah.","Setiap Hari, Pukul 07.00 – 21.00","Tiket Masuk Weekdays        Mulai dari Rp10.000/orang        
Tiket Masuk Weekend        Mulai dari Rp15.000/orang        
Tiket Wahana/Permainan        Rp10.000 – Rp35.000/wahana",,,SWASTA,,,https://maps.app.goo.gl/2KZY3p4u5C1T8w9U9
69,Wisata K&S Outbound Pool Resto Somosari,"WISATA BUATAN, WISATA KULINER","Somosari I, Somosari, Kec. Batealit, Kabupaten Jepara, Jawa Tengah 59461",Batealit,"K&S Outbound Pool Resto Somosari adalah destinasi wisata keluarga yang menggabungkan konsep rekreasi alam, kolam renang, dan kuliner, menjadikannya tempat yang cocok untuk aktivitas keluarga atau rombongan.

Lokasi dan Jam Buka
Nama Tempat: Wisata K&S Outbound Pool Resto Somosari

Alamat: Somosari I, Somosari, Kec. Batealit, Kabupaten Jepara, Jawa Tengah 59461

Jam Operasional: Buka setiap hari, pukul 08.00–19.00 WIB.

Telepon: +62 813-9369-6528

Daya Tarik dan Fasilitas
Tempat ini menawarkan pengalaman lengkap dalam satu lokasi:

Kolam Renang (Pool): Tersedia area kolam renang yang biasanya bersih dan aman untuk anak-anak, karena kedalamannya yang dangkal. Ini menjadi daya tarik utama bagi keluarga.

Restoran (Resto): Terdapat area restoran yang menyajikan berbagai pilihan makanan. Beberapa pengunjung merekomendasikan menu seperti Rice Bowl dan hidangan dengan cita rasa yang enak.

Area Outbound: Sesuai namanya, tempat ini memiliki area dan fasilitas outbound yang cocok untuk kegiatan kelompok atau pelatihan, termasuk kegiatan outbound untuk anak-anak.

Suasana Asri: Lokasinya dikelilingi pemandangan yang indah dan suasananya sejuk serta nyaman. Terdapat banyak gazebo yang bisa digunakan pengunjung untuk bersantai.

Hidden Gem dengan Fasilitas Lengkap: Banyak wisatawan menilai K&S sebagai tempat wisata yang murah meriah namun memiliki fasilitas yang lengkap, termasuk kamar mandi yang bersih, spot foto, dan tempat yang luas.

Informasi Tambahan dari Ulasan Pengunjung
Berdasarkan ulasan, berikut beberapa poin penting yang perlu diketahui sebelum berkunjung:

Kebersihan dan Kenyamanan: Tempat ini umumnya dinilai bagus, luas, bersih, dan nyaman.

Tiket Masuk: Harga tiket masuk relatif terjangkau, dan di beberapa waktu tertentu (misalnya weekend atau hari libur), tiket masuk sudah termasuk akses untuk berenang sepuasnya.

Aturan Makanan: Pengunjung disarankan tidak membawa makanan dari luar, karena tempat ini juga menyediakan resto. Harga makanan di resto dinilai sebanding dengan tempat wisata pada umumnya.",pukul 08.00–19.00 WIB.,,,,SWASTA,,,https://maps.app.goo.gl/99ipfeVzkXDmMsJ79
70,Kolam Renang WLB (Watu Lumpang Bangsri),WISATA BUATAN,"Jl. Lkr., Krsak, Bangsri, Kec. Bangsri, Kabupaten Jepara, Jawa Tengah 59453",Bangsri,"Kolam Renang WLB (Watu Lumpang Bangsri)
Watu Lumpang Bangsri (WLB) adalah destinasi wisata air yang relatif baru di Jepara, menawarkan pengalaman berenang yang unik dengan nuansa alam pedesaan dan pemandangan yang menenangkan.

Daya Tarik dan Fasilitas
Konsep Alam: Kolam renang ini memiliki konsep wisata air yang berbeda, yaitu dikelilingi oleh pemandangan sawah dan perbukitan yang indah. Suasana di sini dikenal sangat sejuk dan menenangkan, cocok untuk tempat bersantai bagi orang tua sambil mengawasi anak-anak berenang.

Akses Mudah: Lokasinya berada di pinggir jalan raya di Bangsri, sehingga mudah dijangkau oleh pengunjung.

Fasilitas: WLB dilengkapi dengan fasilitas penunjang seperti:

Kolam renang

Kamar mandi dan kamar ganti

Tempat bersantai (gazebo/area istirahat)

Kedai atau warung makanan

Area parkir yang cukup luas

Inisiatif Sosial: WLB dikenal memiliki inisiatif mulia dengan memberikan tiket masuk gratis untuk anak yatim (informasi ini dapat berubah, disarankan untuk mengonfirmasi kembali saat berkunjung).

Harga Tiket Masuk
Meskipun harga dapat berubah sewaktu-waktu, harga tiket masuk Kolam Renang WLB saat ini dilaporkan sekitar Rp 10.000 per orang.","Setiap Hari, Pukul 07.00 – 17.00",HTM : Rp 10.000/orang,,,SWASTA,,,https://maps.app.goo.gl/dRwvcRbCENquicbJ7
71,Andina Swimming Pool,WISATA BUATAN,"Sagawe, Jinggotan, Kec. Kembang, Kabupaten Jepara, Jawa Tengah 59453",Kembang,"Andina Swimming Pool adalah salah satu kolam renang yang populer dan direkomendasikan di Jepara, khususnya untuk rekreasi keluarga. Kolam renang ini dikenal memiliki harga yang terjangkau dan fasilitas yang cukup memadai.
Daya Tarik dan Harga Tiket
Lokasi Strategis: Kolam renang ini terletak di pinggir jalan raya, sekitar 300 meter setelah Polsek Kembang (jika datang dari arah Jepara), sehingga mudah diakses.

Cocok untuk Keluarga: Tempat ini sangat direkomendasikan untuk dikunjungi bersama anak-anak.

Harga Terjangkau: Harga tiket masuk ke kolam renang ini sangat ramah di kantong, yaitu sekitar Rp 10.000 per orang (harga dapat berubah, disarankan untuk mengonfirmasi saat berkunjung).

Fasilitas Kuliner: Selain menyajikan wisata air, Andina Swimming Pool juga menyediakan aneka makanan ringan dan kuliner di area kafenya.","Setiap Hari, Pukul 08.00 – 17.00",,,,SWASTA,0821-3470-5030,,https://maps.app.goo.gl/eGGzJMpy5EgNWUJ98
72,Tiara Park Waterboom,WISATA BUATAN,"Jl. Raya Kenari, Purwogondo IV, Purwogondo, Kec. Kalinyamatan, Kabupaten Jepara, Jawa Tengah 59462",Kalinyamatan,"Tiara Park Waterboom adalah salah satu destinasi wisata air yang populer di Kabupaten Jepara, Jawa Tengah, sangat cocok untuk liburan keluarga, terutama bagi yang membawa anak-anak.

Daya Tarik
Tiara Park Waterboom menawarkan beragam wahana dan fasilitas yang menyenangkan:

Wahana Air: Terdapat berbagai jenis seluncuran air (water slide) yang seru dan menantang, serta kolam-kolam renang dengan tingkat kedalaman yang berbeda.

Kolam Anak: Ada area kolam khusus anak dengan air mancur dan berbagai permainan air yang aman.

Fasilitas Pendukung: Selain wahana air, tempat ini umumnya dilengkapi dengan fasilitas lain seperti tempat istirahat, gazebo, area parkir, kamar mandi/ruang bilas, dan warung makan.","Setiap Hari, Pukul 08.00 – 17.00",,,,SWASTA,,,https://maps.app.goo.gl/CqKNzvwHComwTQXt7
73,Wisata Lembah Alam Jepara,"WISATA BUATAN, WISATA KULINER","Rw. 5, Desa Troso, Kecamatan Pecangaan, Kabupaten Jepara, Jawa Tengah 59462.",Pecangaan,"Wisata Lembah Alam Jepara adalah destinasi rekreasi alam yang menawarkan perpaduan antara keindahan pemandangan lembah, taman, dan fasilitas kuliner. Tempat ini menjadi pilihan bagi yang ingin bersantai di udara terbuka dengan suasana yang sejuk dan asri.

Daya Tarik
Pemandangan Alam: Sesuai namanya, tempat ini menawarkan pemandangan lembah dan alam yang hijau, dikelilingi oleh pepohonan rindang, sehingga cocok untuk mencari ketenangan dan menikmati udara segar.

Restoran dan Kafe Outdoor: Tempat ini memiliki area restoran/kafe (resto joglo) yang dirancang terbuka dan cocok untuk berkumpul. Pengunjung bisa menikmati hidangan sambil menikmati pemandangan alam sekitar.

Akses Mudah: Lokasinya dikatakan relatif mudah dijangkau baik dengan kendaraan roda empat maupun roda dua.","Jam Operasional Umum:

Senin - Kamis: 09.00–16.00 WIB

Jumat - Sabtu: 08.00–16.00 / 06.00–21.00 WIB (Jam bervariasi)

Minggu: 08.00–20.00 / 08.00–21.00 WIB (Jam bervariasi)",,,,SWASTA,,,https://maps.app.goo.gl/iSYk7m6jDEjKCGQc7
74,Kolam Renang Alam Moya,WISATA BUATAN,"RT.2/RW.1, Rw. II, Bapangan, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59413.",Jepara,"Kolam Renang Alam Moya adalah salah satu destinasi wisata air yang populer di Kabupaten Jepara, Jawa Tengah. Tempat ini dikenal sebagai kolam renang yang mengutamakan kenyamanan keluarga dan suasana yang asri.

Fasilitas dan Daya Tarik
Kolam Renang Alam Moya sangat direkomendasikan sebagai tempat rekreasi keluarga, terutama untuk anak-anak, dengan beberapa keunggulan:

Kolam Ramah Anak: Tempat ini dikenal memiliki area kolam anak yang sangat disukai dan menjadi daya tarik utama.

Air Bersih dan Nyaman: Secara umum, kolam renang ini memiliki air yang bersih dan suasana yang nyaman untuk berenang dan bersantai.

Kedalaman Kolam: Untuk kolam dewasa, kedalamannya berkisar antara 140-150 cm. Ini menjadikannya aman, meskipun mungkin kurang cocok bagi perenang dewasa yang mencari kolam sangat dalam.

Fasilitas Pendukung: Kolam renang ini menyediakan fasilitas yang memadai seperti tempat duduk yang banyak, kamar ganti, toilet, dan kantin/restoran kecil.

Peraturan Fleksibel: Pengunjung diperbolehkan membawa makanan dan minuman dari luar, yang menambah kenyamanan bagi keluarga yang ingin menghemat biaya atau membawa bekal sendiri.",Pukul 07.00–17.00 WIB,,,,SWASTA,0813-2551-2273,,https://maps.app.goo.gl/ps62EqAktRVwBMG88
75,Banyu Manis Kolam Renang,WISATA BUATAN,"Gendolo, Raguklampitan, Kec. Batealit, Kabupaten Jepara, Jawa Tengah 59461.",Batealit,"Banyu Manis Kolam Renang adalah salah satu destinasi wisata air yang terletak di daerah Batealit, Kabupaten Jepara, Jawa Tengah. Tempat ini dikenal karena menawarkan kolam renang dengan kualitas air yang baik, sering disebut sebagai air gunung yang segar, serta berlokasi di lingkungan yang asri dan sejuk.

Daya Tarik dan Keunikan
Air Pegunungan yang Sehat: Daya tarik utama kolam renang ini adalah penggunaan air yang berasal dari sumber mata air alami atau pegunungan. Air ini dianggap lebih segar dan jernih. Salah satu ulasan pengunjung menyebutkan, ""Adem airnya gunung gak bikin kaku rambut dan kulit,"" yang menyiratkan manfaat air alami yang tidak keras dan tidak merusak kulit/rambut.

Suasana Alam yang Asri: Kolam renang ini terletak di Kecamatan Batealit, yang merupakan kawasan dengan nuansa alam dan dikelilingi oleh pepohonan rindang. Hal ini menciptakan suasana yang sejuk dan nyaman untuk berenang dan bersantai.

Ramah Keluarga: Banyu Manis Kolam Renang dirancang sebagai tempat wisata air yang cocok untuk keluarga dan anak-anak.",Pukul 07.00–17.00 WIB,,,,SWASTA,,,https://maps.app.goo.gl/hR2eDXz2vkko1Gjz9
76,Pasar Duren Ngabul,"WISATA BUATAN, WISATA KULINER","Jalan, Jokosari, Ngabul, Kec. Tahunan, Kab. Jepara, Jawa Tengah 59428.",Tahunan,Pasar Duren Ngabul (atau sering disebut Pasar Durian Ngabul) adalah pusat penjualan durian paling terkenal di Jepara dan merupakan surga bagi pecinta buah berduri ini.,Buka 24 Jam,,,,PEMDA / DINAS,,,https://maps.app.goo.gl/sTb6Nf95TdyQnZ126
